RespondentID,Industry,Other (please specify),Label,Data
3358085333,Manufacturing,,Accounting,5
3358085333,Manufacturing,,Business Administration/Business Management,5
3358085333,Manufacturing,,Economics,5
3358085333,Manufacturing,,Finance,5
3358085333,Manufacturing,,Marketing,5
3347231259,Other (please specify),"Healthcare, Financial & Customer Service.",Accounting,4
3347231259,Other (please specify),"Healthcare, Financial & Customer Service.",Business Administration/Business Management,4
3347231259,Other (please specify),"Healthcare, Financial & Customer Service.",Economics,4
3347231259,Other (please specify),"Healthcare, Financial & Customer Service.",Finance,4
3347231259,Other (please specify),"Healthcare, Financial & Customer Service.",Marketing,4
3344940626,Accommodations and Food Services,,Accounting,4
3344940626,Accommodations and Food Services,,Business Administration/Business Management,4
3344940626,Accommodations and Food Services,,Economics,4
3344940626,Accommodations and Food Services,,Finance,4
3344940626,Accommodations and Food Services,,Marketing,5
3338545976,Manufacturing,,Accounting,5
3338545976,Manufacturing,,Business Administration/Business Management,4
3338545976,Manufacturing,,Economics,4
3338545976,Manufacturing,,Finance,4
3338545976,Manufacturing,,Marketing,2
3336637404,Manufacturing,,Accounting,5
3336637404,Manufacturing,,Business Administration/Business Management,5
3336637404,Manufacturing,,Economics,4
3336637404,Manufacturing,,Finance,5
3336637404,Manufacturing,,Marketing,4
3336166493,Retail Trade,,Accounting,4
3336166493,Retail Trade,,Business Administration/Business Management,5
3336166493,Retail Trade,,Economics,3
3336166493,Retail Trade,,Finance,5
3336166493,Retail Trade,,Marketing,3
3336006088,Wholesale Trade,,Accounting,5
3336006088,Wholesale Trade,,Business Administration/Business Management,5
3336006088,Wholesale Trade,,Economics,5
3336006088,Wholesale Trade,,Finance,5
3336006088,Wholesale Trade,,Marketing,5
3335926960,Manufacturing,,Accounting,5
3335926960,Manufacturing,,Business Administration/Business Management,3
3335926960,Manufacturing,,Economics,3
3335926960,Manufacturing,,Finance,5
3335926960,Manufacturing,,Marketing,3
3335005371,Retail Trade,,Accounting,4
3335005371,Retail Trade,,Business Administration/Business Management,5
3335005371,Retail Trade,,Economics,4
3335005371,Retail Trade,,Finance,4
3335005371,Retail Trade,,Marketing,4
3334850384,Health Care and Social Assistance,,Accounting,5
3334850384,Health Care and Social Assistance,,Business Administration/Business Management,5
3334850384,Health Care and Social Assistance,,Economics,5
3334850384,Health Care and Social Assistance,,Finance,5
3334850384,Health Care and Social Assistance,,Marketing,5
3334835644,"Real Estate, Property Management, Rental",,Accounting,4
3334835644,"Real Estate, Property Management, Rental",,Business Administration/Business Management,3
3334835644,"Real Estate, Property Management, Rental",,Economics,3
3334835644,"Real Estate, Property Management, Rental",,Finance,4
3334835644,"Real Estate, Property Management, Rental",,Marketing,
3334833418,"Professional Services (Accounting, Legal, Engineering, Marketing)",,Accounting,5
3334833418,"Professional Services (Accounting, Legal, Engineering, Marketing)",,Business Administration/Business Management,3
3334833418,"Professional Services (Accounting, Legal, Engineering, Marketing)",,Economics,3
3334833418,"Professional Services (Accounting, Legal, Engineering, Marketing)",,Finance,3
3334833418,"Professional Services (Accounting, Legal, Engineering, Marketing)",,Marketing,1
3334535207,Retail Trade,,Accounting,4
3334535207,Retail Trade,,Business Administration/Business Management,5
3334535207,Retail Trade,,Economics,4
3334535207,Retail Trade,,Finance,4
3334535207,Retail Trade,,Marketing,5
3334296372,Health Care and Social Assistance,,Accounting,2
3334296372,Health Care and Social Assistance,,Business Administration/Business Management,5
3334296372,Health Care and Social Assistance,,Economics,4
3334296372,Health Care and Social Assistance,,Finance,2
3334296372,Health Care and Social Assistance,,Marketing,3
3334252150,Financial Institution/Insurance/Financial Services,,Accounting,5
3334252150,Financial Institution/Insurance/Financial Services,,Business Administration/Business Management,
3334252150,Financial Institution/Insurance/Financial Services,,Economics,
3334252150,Financial Institution/Insurance/Financial Services,,Finance,
3334252150,Financial Institution/Insurance/Financial Services,,Marketing,
3329808253,Health Care and Social Assistance,,Accounting,2
3329808253,Health Care and Social Assistance,,Business Administration/Business Management,5
3329808253,Health Care and Social Assistance,,Economics,4
3329808253,Health Care and Social Assistance,,Finance,2
3329808253,Health Care and Social Assistance,,Marketing,2
3329580120,"Professional Services (Accounting, Legal, Engineering, Marketing)",,Accounting,3
3329580120,"Professional Services (Accounting, Legal, Engineering, Marketing)",,Business Administration/Business Management,5
3329580120,"Professional Services (Accounting, Legal, Engineering, Marketing)",,Economics,3
3329580120,"Professional Services (Accounting, Legal, Engineering, Marketing)",,Finance,3
3329580120,"Professional Services (Accounting, Legal, Engineering, Marketing)",,Marketing,3
3329536689,Health Care and Social Assistance,,Accounting,4
3329536689,Health Care and Social Assistance,,Business Administration/Business Management,4
3329536689,Health Care and Social Assistance,,Economics,3
3329536689,Health Care and Social Assistance,,Finance,3
3329536689,Health Care and Social Assistance,,Marketing,3
3329496231,Other (please specify),Agriculture,Accounting,4
3329496231,Other (please specify),Agriculture,Business Administration/Business Management,5
3329496231,Other (please specify),Agriculture,Economics,4
3329496231,Other (please specify),Agriculture,Finance,5
3329496231,Other (please specify),Agriculture,Marketing,4
3328824914,Financial Institution/Insurance/Financial Services,,Accounting,5
3328824914,Financial Institution/Insurance/Financial Services,,Business Administration/Business Management,5
3328824914,Financial Institution/Insurance/Financial Services,,Economics,5
3328824914,Financial Institution/Insurance/Financial Services,,Finance,5
3328824914,Financial Institution/Insurance/Financial Services,,Marketing,2
3328059998,Other (please specify),"Financial assistance and health care, child support, community health and social services",Accounting,4
3328059998,Other (please specify),"Financial assistance and health care, child support, community health and social services",Business Administration/Business Management,4
3328059998,Other (please specify),"Financial assistance and health care, child support, community health and social services",Economics,4
3328059998,Other (please specify),"Financial assistance and health care, child support, community health and social services",Finance,4
3328059998,Other (please specify),"Financial assistance and health care, child support, community health and social services",Marketing,4
3327165404,Other (please specify),Trucking leasing and sales,Accounting,3
3327165404,Other (please specify),Trucking leasing and sales,Business Administration/Business Management,4
3327165404,Other (please specify),Trucking leasing and sales,Economics,3
3327165404,Other (please specify),Trucking leasing and sales,Finance,3
3327165404,Other (please specify),Trucking leasing and sales,Marketing,3
3325536221,Financial Institution/Insurance/Financial Services,,Accounting,4
3325536221,Financial Institution/Insurance/Financial Services,,Business Administration/Business Management,4
3325536221,Financial Institution/Insurance/Financial Services,,Economics,4
3325536221,Financial Institution/Insurance/Financial Services,,Finance,5
3325536221,Financial Institution/Insurance/Financial Services,,Marketing,5
3323465381,Retail Trade,,Accounting,3
3323465381,Retail Trade,,Business Administration/Business Management,5
3323465381,Retail Trade,,Economics,2
3323465381,Retail Trade,,Finance,2
3323465381,Retail Trade,,Marketing,4
3319811938,Retail Trade,,Accounting,3
3319811938,Retail Trade,,Business Administration/Business Management,4
3319811938,Retail Trade,,Economics,3
3319811938,Retail Trade,,Finance,3
3319811938,Retail Trade,,Marketing,4
3319565998,"Arts, Entertainment, and Recreation",,Accounting,3
3319565998,"Arts, Entertainment, and Recreation",,Business Administration/Business Management,4
3319565998,"Arts, Entertainment, and Recreation",,Economics,3
3319565998,"Arts, Entertainment, and Recreation",,Finance,3
3319565998,"Arts, Entertainment, and Recreation",,Marketing,4
3319393333,Manufacturing,,Accounting,4
3319393333,Manufacturing,,Business Administration/Business Management,5
3319393333,Manufacturing,,Economics,4
3319393333,Manufacturing,,Finance,4
3319393333,Manufacturing,,Marketing,3
3319301239,Retail Trade,,Accounting,4
3319301239,Retail Trade,,Business Administration/Business Management,5
3319301239,Retail Trade,,Economics,4
3319301239,Retail Trade,,Finance,4
3319301239,Retail Trade,,Marketing,4
3319273969,Retail Trade,,Accounting,4
3319273969,Retail Trade,,Business Administration/Business Management,5
3319273969,Retail Trade,,Economics,4
3319273969,Retail Trade,,Finance,4
3319273969,Retail Trade,,Marketing,5
3319208706,Retail Trade,,Accounting,2
3319208706,Retail Trade,,Business Administration/Business Management,4
3319208706,Retail Trade,,Economics,4
3319208706,Retail Trade,,Finance,4
3319208706,Retail Trade,,Marketing,4
3318995974,"Arts, Entertainment, and Recreation",,Accounting,4
3318995974,"Arts, Entertainment, and Recreation",,Business Administration/Business Management,5
3318995974,"Arts, Entertainment, and Recreation",,Economics,5
3318995974,"Arts, Entertainment, and Recreation",,Finance,4
3318995974,"Arts, Entertainment, and Recreation",,Marketing,4
3318972754,Other Services,,Accounting,4
3318972754,Other Services,,Business Administration/Business Management,5
3318972754,Other Services,,Economics,5
3318972754,Other Services,,Finance,5
3318972754,Other Services,,Marketing,4
3318972029,"Real Estate, Property Management, Rental",,Accounting,4
3318972029,"Real Estate, Property Management, Rental",,Business Administration/Business Management,5
3318972029,"Real Estate, Property Management, Rental",,Economics,4
3318972029,"Real Estate, Property Management, Rental",,Finance,4
3318972029,"Real Estate, Property Management, Rental",,Marketing,4
3318842937,Financial Institution/Insurance/Financial Services,,Accounting,4
3318842937,Financial Institution/Insurance/Financial Services,,Business Administration/Business Management,4
3318842937,Financial Institution/Insurance/Financial Services,,Economics,4
3318842937,Financial Institution/Insurance/Financial Services,,Finance,5
3318842937,Financial Institution/Insurance/Financial Services,,Marketing,4
3316460909,Manufacturing,,Accounting,5
3316460909,Manufacturing,,Business Administration/Business Management,4
3316460909,Manufacturing,,Economics,4
3316460909,Manufacturing,,Finance,5
3316460909,Manufacturing,,Marketing,
3314862914,Financial Institution/Insurance/Financial Services,,Accounting,5
3314862914,Financial Institution/Insurance/Financial Services,,Business Administration/Business Management,5
3314862914,Financial Institution/Insurance/Financial Services,,Economics,4
3314862914,Financial Institution/Insurance/Financial Services,,Finance,5
3314862914,Financial Institution/Insurance/Financial Services,,Marketing,5
3314346280,Manufacturing,,Accounting,4
3314346280,Manufacturing,,Business Administration/Business Management,5
3314346280,Manufacturing,,Economics,4
3314346280,Manufacturing,,Finance,4
3314346280,Manufacturing,,Marketing,4
3312507688,Financial Institution/Insurance/Financial Services,,Accounting,4
3312507688,Financial Institution/Insurance/Financial Services,,Business Administration/Business Management,4
3312507688,Financial Institution/Insurance/Financial Services,,Economics,4
3312507688,Financial Institution/Insurance/Financial Services,,Finance,4
3312507688,Financial Institution/Insurance/Financial Services,,Marketing,4
3312462773,Educational Services,,Accounting,5
3312462773,Educational Services,,Business Administration/Business Management,5
3312462773,Educational Services,,Economics,5
3312462773,Educational Services,,Finance,5
3312462773,Educational Services,,Marketing,5
3312422356,Other (please specify),communications,Accounting,3
3312422356,Other (please specify),communications,Business Administration/Business Management,5
3312422356,Other (please specify),communications,Economics,4
3312422356,Other (please specify),communications,Finance,3
3312422356,Other (please specify),communications,Marketing,5
3311382520,Manufacturing,,Accounting,4
3311382520,Manufacturing,,Business Administration/Business Management,5
3311382520,Manufacturing,,Economics,5
3311382520,Manufacturing,,Finance,4
3311382520,Manufacturing,,Marketing,4
3310335665,Manufacturing,,Accounting,5
3310335665,Manufacturing,,Business Administration/Business Management,5
3310335665,Manufacturing,,Economics,4
3310335665,Manufacturing,,Finance,5
3310335665,Manufacturing,,Marketing,5
3309532568,Educational Services,,Accounting,5
3309532568,Educational Services,,Business Administration/Business Management,5
3309532568,Educational Services,,Economics,2
3309532568,Educational Services,,Finance,5
3309532568,Educational Services,,Marketing,5
3306404432,Financial Institution/Insurance/Financial Services,,Accounting,4
3306404432,Financial Institution/Insurance/Financial Services,,Business Administration/Business Management,4
3306404432,Financial Institution/Insurance/Financial Services,,Economics,4
3306404432,Financial Institution/Insurance/Financial Services,,Finance,5
3306404432,Financial Institution/Insurance/Financial Services,,Marketing,3
3305136016,Other Services,,Accounting,4
3305136016,Other Services,,Business Administration/Business Management,5
3305136016,Other Services,,Economics,3
3305136016,Other Services,,Finance,3
3305136016,Other Services,,Marketing,3
3305074297,Financial Institution/Insurance/Financial Services,,Accounting,5
3305074297,Financial Institution/Insurance/Financial Services,,Business Administration/Business Management,5
3305074297,Financial Institution/Insurance/Financial Services,,Economics,4
3305074297,Financial Institution/Insurance/Financial Services,,Finance,5
3305074297,Financial Institution/Insurance/Financial Services,,Marketing,4
3304900712,"Professional Services (Accounting, Legal, Engineering, Marketing)",,Accounting,4
3304900712,"Professional Services (Accounting, Legal, Engineering, Marketing)",,Business Administration/Business Management,4
3304900712,"Professional Services (Accounting, Legal, Engineering, Marketing)",,Economics,4
3304900712,"Professional Services (Accounting, Legal, Engineering, Marketing)",,Finance,4
3304900712,"Professional Services (Accounting, Legal, Engineering, Marketing)",,Marketing,4
3304366554,Other (please specify),Publishing,Accounting,5
3304366554,Other (please specify),Publishing,Business Administration/Business Management,5
3304366554,Other (please specify),Publishing,Economics,5
3304366554,Other (please specify),Publishing,Finance,5
3304366554,Other (please specify),Publishing,Marketing,5
3304190219,Financial Institution/Insurance/Financial Services,,Accounting,5
3304190219,Financial Institution/Insurance/Financial Services,,Business Administration/Business Management,5
3304190219,Financial Institution/Insurance/Financial Services,,Economics,5
3304190219,Financial Institution/Insurance/Financial Services,,Finance,5
3304190219,Financial Institution/Insurance/Financial Services,,Marketing,5
3302327774,Health Care and Social Assistance,,Accounting,4
3302327774,Health Care and Social Assistance,,Business Administration/Business Management,5
3302327774,Health Care and Social Assistance,,Economics,4
3302327774,Health Care and Social Assistance,,Finance,4
3302327774,Health Care and Social Assistance,,Marketing,4
3301789866,Other (please specify),Media - Daily Newspaper,Accounting,3
3301789866,Other (please specify),Media - Daily Newspaper,Business Administration/Business Management,3
3301789866,Other (please specify),Media - Daily Newspaper,Economics,4
3301789866,Other (please specify),Media - Daily Newspaper,Finance,3
3301789866,Other (please specify),Media - Daily Newspaper,Marketing,4
3300522722,Other (please specify),Transportation,Accounting,5
3300522722,Other (please specify),Transportation,Business Administration/Business Management,5
3300522722,Other (please specify),Transportation,Economics,5
3300522722,Other (please specify),Transportation,Finance,5
3300522722,Other (please specify),Transportation,Marketing,5
3300416365,Health Care and Social Assistance,,Accounting,4
3300416365,Health Care and Social Assistance,,Business Administration/Business Management,4
3300416365,Health Care and Social Assistance,,Economics,4
3300416365,Health Care and Social Assistance,,Finance,4
3300416365,Health Care and Social Assistance,,Marketing,4
3290327480,Health Care and Social Assistance,,Accounting,4
3290327480,Health Care and Social Assistance,,Business Administration/Business Management,5
3290327480,Health Care and Social Assistance,,Economics,3
3290327480,Health Care and Social Assistance,,Finance,4
3290327480,Health Care and Social Assistance,,Marketing,4
3289866024,Government/Not-For-Profit,,Accounting,4
3289866024,Government/Not-For-Profit,,Business Administration/Business Management,4
3289866024,Government/Not-For-Profit,,Economics,3
3289866024,Government/Not-For-Profit,,Finance,4
3289866024,Government/Not-For-Profit,,Marketing,3
3289668081,Health Care and Social Assistance,,Accounting,4
3289668081,Health Care and Social Assistance,,Business Administration/Business Management,5
3289668081,Health Care and Social Assistance,,Economics,3
3289668081,Health Care and Social Assistance,,Finance,4
3289668081,Health Care and Social Assistance,,Marketing,3
3287692441,Manufacturing,,Accounting,4
3287692441,Manufacturing,,Business Administration/Business Management,5
3287692441,Manufacturing,,Economics,3
3287692441,Manufacturing,,Finance,3
3287692441,Manufacturing,,Marketing,4
3287455067,Manufacturing,,Accounting,5
3287455067,Manufacturing,,Business Administration/Business Management,5
3287455067,Manufacturing,,Economics,5
3287455067,Manufacturing,,Finance,5
3287455067,Manufacturing,,Marketing,5
3285500453,Health Care and Social Assistance,,Accounting,5
3285500453,Health Care and Social Assistance,,Business Administration/Business Management,5
3285500453,Health Care and Social Assistance,,Economics,4
3285500453,Health Care and Social Assistance,,Finance,5
3285500453,Health Care and Social Assistance,,Marketing,5
3285438187,Government/Not-For-Profit,,Accounting,5
3285438187,Government/Not-For-Profit,,Business Administration/Business Management,5
3285438187,Government/Not-For-Profit,,Economics,3
3285438187,Government/Not-For-Profit,,Finance,5
3285438187,Government/Not-For-Profit,,Marketing,4
3279963668,Health Care and Social Assistance,,Accounting,4
3279963668,Health Care and Social Assistance,,Business Administration/Business Management,5
3279963668,Health Care and Social Assistance,,Economics,3
3279963668,Health Care and Social Assistance,,Finance,4
3279963668,Health Care and Social Assistance,,Marketing,4
3279215502,Manufacturing,,Accounting,4
3279215502,Manufacturing,,Business Administration/Business Management,5
3279215502,Manufacturing,,Economics,4
3279215502,Manufacturing,,Finance,3
3279215502,Manufacturing,,Marketing,5
3279193635,Other (please specify),Distribution,Accounting,4
3279193635,Other (please specify),Distribution,Business Administration/Business Management,4
3279193635,Other (please specify),Distribution,Economics,4
3279193635,Other (please specify),Distribution,Finance,4
3279193635,Other (please specify),Distribution,Marketing,4
3278824712,Government/Not-For-Profit,,Accounting,3
3278824712,Government/Not-For-Profit,,Business Administration/Business Management,4
3278824712,Government/Not-For-Profit,,Economics,3
3278824712,Government/Not-For-Profit,,Finance,3
3278824712,Government/Not-For-Profit,,Marketing,3
3277762658,Retail Trade,,Accounting,5
3277762658,Retail Trade,,Business Administration/Business Management,5
3277762658,Retail Trade,,Economics,4
3277762658,Retail Trade,,Finance,5
3277762658,Retail Trade,,Marketing,5
3277423655,Other (please specify),Telecommunications,Accounting,4
3277423655,Other (please specify),Telecommunications,Business Administration/Business Management,5
3277423655,Other (please specify),Telecommunications,Economics,5
3277423655,Other (please specify),Telecommunications,Finance,4
3277423655,Other (please specify),Telecommunications,Marketing,4
3277074458,Manufacturing,,Accounting,2
3277074458,Manufacturing,,Business Administration/Business Management,5
3277074458,Manufacturing,,Economics,2
3277074458,Manufacturing,,Finance,4
3277074458,Manufacturing,,Marketing,4
3276981161,Financial Institution/Insurance/Financial Services,,Accounting,3
3276981161,Financial Institution/Insurance/Financial Services,,Business Administration/Business Management,3
3276981161,Financial Institution/Insurance/Financial Services,,Economics,3
3276981161,Financial Institution/Insurance/Financial Services,,Finance,3
3276981161,Financial Institution/Insurance/Financial Services,,Marketing,3
3276789950,Government/Not-For-Profit,,Accounting,3
3276789950,Government/Not-For-Profit,,Business Administration/Business Management,5
3276789950,Government/Not-For-Profit,,Economics,4
3276789950,Government/Not-For-Profit,,Finance,3
3276789950,Government/Not-For-Profit,,Marketing,4
3276777805,Other (please specify),Fulfillment/Printing,Accounting,5
3276777805,Other (please specify),Fulfillment/Printing,Business Administration/Business Management,5
3276777805,Other (please specify),Fulfillment/Printing,Economics,5
3276777805,Other (please specify),Fulfillment/Printing,Finance,5
3276777805,Other (please specify),Fulfillment/Printing,Marketing,5
3276726733,Government/Not-For-Profit,,Accounting,3
3276726733,Government/Not-For-Profit,,Business Administration/Business Management,5
3276726733,Government/Not-For-Profit,,Economics,3
3276726733,Government/Not-For-Profit,,Finance,4
3276726733,Government/Not-For-Profit,,Marketing,4
3275170817,Other (please specify),Agriculture,Accounting,5
3275170817,Other (please specify),Agriculture,Business Administration/Business Management,5
3275170817,Other (please specify),Agriculture,Economics,5
3275170817,Other (please specify),Agriculture,Finance,5
3275170817,Other (please specify),Agriculture,Marketing,4
3275093124,Manufacturing,,Accounting,4
3275093124,Manufacturing,,Business Administration/Business Management,5
3275093124,Manufacturing,,Economics,4
3275093124,Manufacturing,,Finance,4
3275093124,Manufacturing,,Marketing,4
3275014681,Retail Trade,,Accounting,3
3275014681,Retail Trade,,Business Administration/Business Management,4
3275014681,Retail Trade,,Economics,3
3275014681,Retail Trade,,Finance,3
3275014681,Retail Trade,,Marketing,4
3274980359,Educational Services,,Accounting,4
3274980359,Educational Services,,Business Administration/Business Management,5
3274980359,Educational Services,,Economics,4
3274980359,Educational Services,,Finance,5
3274980359,Educational Services,,Marketing,4
3274913575,Financial Institution/Insurance/Financial Services,,Accounting,3
3274913575,Financial Institution/Insurance/Financial Services,,Business Administration/Business Management,5
3274913575,Financial Institution/Insurance/Financial Services,,Economics,5
3274913575,Financial Institution/Insurance/Financial Services,,Finance,5
3274913575,Financial Institution/Insurance/Financial Services,,Marketing,5
3274295629,Other (please specify),Staffing,Accounting,5
3274295629,Other (please specify),Staffing,Business Administration/Business Management,5
3274295629,Other (please specify),Staffing,Economics,5
3274295629,Other (please specify),Staffing,Finance,5
3274295629,Other (please specify),Staffing,Marketing,5
3274060746,Government/Not-For-Profit,,Accounting,5
3274060746,Government/Not-For-Profit,,Business Administration/Business Management,5
3274060746,Government/Not-For-Profit,,Economics,4
3274060746,Government/Not-For-Profit,,Finance,5
3274060746,Government/Not-For-Profit,,Marketing,5
3272912812,Educational Services,,Accounting,1
3272912812,Educational Services,,Business Administration/Business Management,4
3272912812,Educational Services,,Economics,1
3272912812,Educational Services,,Finance,1
3272912812,Educational Services,,Marketing,1
3269719264,Accommodations and Food Services,,Accounting,3
3269719264,Accommodations and Food Services,,Business Administration/Business Management,3
3269719264,Accommodations and Food Services,,Economics,3
3269719264,Accommodations and Food Services,,Finance,3
3269719264,Accommodations and Food Services,,Marketing,3
3269375013,Government/Not-For-Profit,,Accounting,
3269375013,Government/Not-For-Profit,,Business Administration/Business Management,
3269375013,Government/Not-For-Profit,,Economics,
3269375013,Government/Not-For-Profit,,Finance,
3269375013,Government/Not-For-Profit,,Marketing,
3269210811,"Real Estate, Property Management, Rental",,Accounting,3
3269210811,"Real Estate, Property Management, Rental",,Business Administration/Business Management,5
3269210811,"Real Estate, Property Management, Rental",,Economics,3
3269210811,"Real Estate, Property Management, Rental",,Finance,4
3269210811,"Real Estate, Property Management, Rental",,Marketing,5
3269208438,Construction,,Accounting,3
3269208438,Construction,,Business Administration/Business Management,5
3269208438,Construction,,Economics,2
3269208438,Construction,,Finance,3
3269208438,Construction,,Marketing,4
3268939829,Other (please specify),Staffing and Recruiting,Accounting,5
3268939829,Other (please specify),Staffing and Recruiting,Business Administration/Business Management,5
3268939829,Other (please specify),Staffing and Recruiting,Economics,5
3268939829,Other (please specify),Staffing and Recruiting,Finance,5
3268939829,Other (please specify),Staffing and Recruiting,Marketing,5
3268843543,Other (please specify),Temporary to Permanent Placement Staffing,Accounting,4
3268843543,Other (please specify),Temporary to Permanent Placement Staffing,Business Administration/Business Management,5
3268843543,Other (please specify),Temporary to Permanent Placement Staffing,Economics,4
3268843543,Other (please specify),Temporary to Permanent Placement Staffing,Finance,4
3268843543,Other (please specify),Temporary to Permanent Placement Staffing,Marketing,5
3266749095,Wholesale Trade,,Accounting,3
3266749095,Wholesale Trade,,Business Administration/Business Management,4
3266749095,Wholesale Trade,,Economics,3
3266749095,Wholesale Trade,,Finance,3
3266749095,Wholesale Trade,,Marketing,3
3266527983,"Arts, Entertainment, and Recreation",,Accounting,4
3266527983,"Arts, Entertainment, and Recreation",,Business Administration/Business Management,5
3266527983,"Arts, Entertainment, and Recreation",,Economics,5
3266527983,"Arts, Entertainment, and Recreation",,Finance,4
3266527983,"Arts, Entertainment, and Recreation",,Marketing,5
3264592720,Manufacturing,,Accounting,3
3264592720,Manufacturing,,Business Administration/Business Management,5
3264592720,Manufacturing,,Economics,4
3264592720,Manufacturing,,Finance,4
3264592720,Manufacturing,,Marketing,4
3264437356,Educational Services,,Accounting,3
3264437356,Educational Services,,Business Administration/Business Management,5
3264437356,Educational Services,,Economics,3
3264437356,Educational Services,,Finance,4
3264437356,Educational Services,,Marketing,3
3262703782,Accommodations and Food Services,,Accounting,4
3262703782,Accommodations and Food Services,,Business Administration/Business Management,5
3262703782,Accommodations and Food Services,,Economics,4
3262703782,Accommodations and Food Services,,Finance,4
3262703782,Accommodations and Food Services,,Marketing,4
3262429695,Retail Trade,,Accounting,2
3262429695,Retail Trade,,Business Administration/Business Management,5
3262429695,Retail Trade,,Economics,2
3262429695,Retail Trade,,Finance,2
3262429695,Retail Trade,,Marketing,4
3261920130,Manufacturing,,Accounting,4
3261920130,Manufacturing,,Business Administration/Business Management,5
3261920130,Manufacturing,,Economics,4
3261920130,Manufacturing,,Finance,5
3261920130,Manufacturing,,Marketing,4
3261633484,Retail Trade,,Accounting,4
3261633484,Retail Trade,,Business Administration/Business Management,4
3261633484,Retail Trade,,Economics,4
3261633484,Retail Trade,,Finance,4
3261633484,Retail Trade,,Marketing,3
3261410347,Other (please specify),Wastewater treatment and collection - Government,Accounting,3
3261410347,Other (please specify),Wastewater treatment and collection - Government,Business Administration/Business Management,3
3261410347,Other (please specify),Wastewater treatment and collection - Government,Economics,2
3261410347,Other (please specify),Wastewater treatment and collection - Government,Finance,2
3261410347,Other (please specify),Wastewater treatment and collection - Government,Marketing,1
3261337319,Other (please specify),Hospitality,Accounting,5
3261337319,Other (please specify),Hospitality,Business Administration/Business Management,5
3261337319,Other (please specify),Hospitality,Economics,4
3261337319,Other (please specify),Hospitality,Finance,4
3261337319,Other (please specify),Hospitality,Marketing,4
3259556454,Retail Trade,,Accounting,5
3259556454,Retail Trade,,Business Administration/Business Management,5
3259556454,Retail Trade,,Economics,5
3259556454,Retail Trade,,Finance,5
3259556454,Retail Trade,,Marketing,5
