Survey,ResponseId,Department,Survey Question,Response
Pre,R_7K391GYJ3XhDIbG,Other,Q2_1,3
Pre,R_7K391GYJ3XhDIbG,Other,Q2_2,3
Pre,R_7K391GYJ3XhDIbG,Other,Q2_3,2
Pre,R_7K391GYJ3XhDIbG,Other,Q2_4,4
Pre,R_7K391GYJ3XhDIbG,Other,Q2_5,2
Pre,R_1wgWB8B5xAQnwWZ,Emergency Department (ED),Q2_1,3
Pre,R_1wgWB8B5xAQnwWZ,Emergency Department (ED),Q2_2,2
Pre,R_1wgWB8B5xAQnwWZ,Emergency Department (ED),Q2_3,3
Pre,R_1wgWB8B5xAQnwWZ,Emergency Department (ED),Q2_4,2
Pre,R_1wgWB8B5xAQnwWZ,Emergency Department (ED),Q2_5,2
Pre,R_1a0YVWoOG5mS7AJ,Other,Q2_1,2
Pre,R_1a0YVWoOG5mS7AJ,Other,Q2_2,2
Pre,R_1a0YVWoOG5mS7AJ,Other,Q2_3,2
Pre,R_1a0YVWoOG5mS7AJ,Other,Q2_4,2
Pre,R_1a0YVWoOG5mS7AJ,Other,Q2_5,2
Pre,R_61B8ohSd6D2HTJL,Other,Q2_1,2
Pre,R_61B8ohSd6D2HTJL,Other,Q2_2,3
Pre,R_61B8ohSd6D2HTJL,Other,Q2_3,2
Pre,R_61B8ohSd6D2HTJL,Other,Q2_4,1
Pre,R_61B8ohSd6D2HTJL,Other,Q2_5,2
Pre,R_7EzLfkIyCwmHhfz,Emergency Department (ED),Q2_1,3
Pre,R_7EzLfkIyCwmHhfz,Emergency Department (ED),Q2_2,4
Pre,R_7EzLfkIyCwmHhfz,Emergency Department (ED),Q2_3,4
Pre,R_7EzLfkIyCwmHhfz,Emergency Department (ED),Q2_4,2
Pre,R_7EzLfkIyCwmHhfz,Emergency Department (ED),Q2_5,2
Pre,R_1eXHXvhAy1DORim,Other,Q2_1,1
Pre,R_1eXHXvhAy1DORim,Other,Q2_2,1
Pre,R_1eXHXvhAy1DORim,Other,Q2_3,2
Pre,R_1eXHXvhAy1DORim,Other,Q2_4,2
Pre,R_1eXHXvhAy1DORim,Other,Q2_5,2
Pre,R_3wKNLjVnAWEuTyP,Other,Q2_1,3
Pre,R_3wKNLjVnAWEuTyP,Other,Q2_2,5
Pre,R_3wKNLjVnAWEuTyP,Other,Q2_3,4
Pre,R_3wKNLjVnAWEuTyP,Other,Q2_4,3
Pre,R_3wKNLjVnAWEuTyP,Other,Q2_5,3
Pre,R_6CrTf7FeJl4AHSm,Other,Q2_1,2
Pre,R_6CrTf7FeJl4AHSm,Other,Q2_2,2
Pre,R_6CrTf7FeJl4AHSm,Other,Q2_3,2
Pre,R_6CrTf7FeJl4AHSm,Other,Q2_4,2
Pre,R_6CrTf7FeJl4AHSm,Other,Q2_5,3
Pre,R_7wMdaRDRD9MX117,Emergency Department (ED),Q2_1,3
Pre,R_7wMdaRDRD9MX117,Emergency Department (ED),Q2_2,3
Pre,R_7wMdaRDRD9MX117,Emergency Department (ED),Q2_3,4
Pre,R_7wMdaRDRD9MX117,Emergency Department (ED),Q2_4,4
Pre,R_7wMdaRDRD9MX117,Emergency Department (ED),Q2_5,3
Pre,R_6Zcm9s1K6IgOesx,Emergency Department (ED),Q2_1,2
Pre,R_6Zcm9s1K6IgOesx,Emergency Department (ED),Q2_2,1
Pre,R_6Zcm9s1K6IgOesx,Emergency Department (ED),Q2_3,2
Pre,R_6Zcm9s1K6IgOesx,Emergency Department (ED),Q2_4,2
Pre,R_6Zcm9s1K6IgOesx,Emergency Department (ED),Q2_5,2
Pre,R_6HwuplBGrBm5Fzr,Emergency Department (ED),Q2_1,4
Pre,R_6HwuplBGrBm5Fzr,Emergency Department (ED),Q2_2,4
Pre,R_6HwuplBGrBm5Fzr,Emergency Department (ED),Q2_3,3
Pre,R_6HwuplBGrBm5Fzr,Emergency Department (ED),Q2_4,3
Pre,R_6HwuplBGrBm5Fzr,Emergency Department (ED),Q2_5,2
Pre,R_775mUzZSSOVtPod,Emergency Department (ED),Q2_1,3
Pre,R_775mUzZSSOVtPod,Emergency Department (ED),Q2_2,3
Pre,R_775mUzZSSOVtPod,Emergency Department (ED),Q2_3,2
Pre,R_775mUzZSSOVtPod,Emergency Department (ED),Q2_4,3
Pre,R_775mUzZSSOVtPod,Emergency Department (ED),Q2_5,3
Pre,R_73UAKeq4zhB1kNd,Emergency Department (ED),Q2_1,4
Pre,R_73UAKeq4zhB1kNd,Emergency Department (ED),Q2_2,4
Pre,R_73UAKeq4zhB1kNd,Emergency Department (ED),Q2_3,2
Pre,R_73UAKeq4zhB1kNd,Emergency Department (ED),Q2_4,4
Pre,R_73UAKeq4zhB1kNd,Emergency Department (ED),Q2_5,1
Pre,R_3lsOmFf6y3E2ySE,Emergency Department (ED),Q2_1,2
Pre,R_3lsOmFf6y3E2ySE,Emergency Department (ED),Q2_2,3
Pre,R_3lsOmFf6y3E2ySE,Emergency Department (ED),Q2_3,2
Pre,R_3lsOmFf6y3E2ySE,Emergency Department (ED),Q2_4,2
Pre,R_3lsOmFf6y3E2ySE,Emergency Department (ED),Q2_5,2
Pre,R_5CfE6tiweQ80F2f,Emergency Department (ED),Q2_1,2
Pre,R_5CfE6tiweQ80F2f,Emergency Department (ED),Q2_2,2
Pre,R_5CfE6tiweQ80F2f,Emergency Department (ED),Q2_3,2
Pre,R_5CfE6tiweQ80F2f,Emergency Department (ED),Q2_4,5
Pre,R_5CfE6tiweQ80F2f,Emergency Department (ED),Q2_5,4
Pre,R_5uQVU2QueaJWNFN,Emergency Department (ED),Q2_1,2
Pre,R_5uQVU2QueaJWNFN,Emergency Department (ED),Q2_2,3
Pre,R_5uQVU2QueaJWNFN,Emergency Department (ED),Q2_3,3
Pre,R_5uQVU2QueaJWNFN,Emergency Department (ED),Q2_4,2
Pre,R_5uQVU2QueaJWNFN,Emergency Department (ED),Q2_5,2
Pre,R_3U5c7fvFBtWA4g1,Emergency Department (ED),Q2_1,3
Pre,R_3U5c7fvFBtWA4g1,Emergency Department (ED),Q2_2,3
Pre,R_3U5c7fvFBtWA4g1,Emergency Department (ED),Q2_3,2
Pre,R_3U5c7fvFBtWA4g1,Emergency Department (ED),Q2_4,3
Pre,R_3U5c7fvFBtWA4g1,Emergency Department (ED),Q2_5,2
Pre,R_7PsdrMwko296qxb,Emergency Department (ED),Q2_1,4
Pre,R_7PsdrMwko296qxb,Emergency Department (ED),Q2_2,4
Pre,R_7PsdrMwko296qxb,Emergency Department (ED),Q2_3,4
Pre,R_7PsdrMwko296qxb,Emergency Department (ED),Q2_4,4
Pre,R_7PsdrMwko296qxb,Emergency Department (ED),Q2_5,3
Pre,R_7QneJf3ZRDrd9ag,Emergency Department (ED),Q2_1,4
Pre,R_7QneJf3ZRDrd9ag,Emergency Department (ED),Q2_2,2
Pre,R_7QneJf3ZRDrd9ag,Emergency Department (ED),Q2_3,4
Pre,R_7QneJf3ZRDrd9ag,Emergency Department (ED),Q2_4,2
Pre,R_7QneJf3ZRDrd9ag,Emergency Department (ED),Q2_5,2
Pre,R_1rPxHWZTtVSh6ba,Other,Q2_1,2
Pre,R_1rPxHWZTtVSh6ba,Other,Q2_2,2
Pre,R_1rPxHWZTtVSh6ba,Other,Q2_3,4
Pre,R_1rPxHWZTtVSh6ba,Other,Q2_4,3
Pre,R_1rPxHWZTtVSh6ba,Other,Q2_5,3
Pre,R_39skaVwDO2aBABr,Emergency Department (ED),Q2_1,4
Pre,R_39skaVwDO2aBABr,Emergency Department (ED),Q2_2,4
Pre,R_39skaVwDO2aBABr,Emergency Department (ED),Q2_3,4
Pre,R_39skaVwDO2aBABr,Emergency Department (ED),Q2_4,4
Pre,R_39skaVwDO2aBABr,Emergency Department (ED),Q2_5,4
Pre,R_6th94seIdZmdSzN,Emergency Department (ED),Q2_1,3
Pre,R_6th94seIdZmdSzN,Emergency Department (ED),Q2_2,3
Pre,R_6th94seIdZmdSzN,Emergency Department (ED),Q2_3,4
Pre,R_6th94seIdZmdSzN,Emergency Department (ED),Q2_4,4
Pre,R_6th94seIdZmdSzN,Emergency Department (ED),Q2_5,1
Pre,R_3gCM7XBNEMPiVVn,Emergency Department (ED),Q2_1,3
Pre,R_3gCM7XBNEMPiVVn,Emergency Department (ED),Q2_2,2
Pre,R_3gCM7XBNEMPiVVn,Emergency Department (ED),Q2_3,2
Pre,R_3gCM7XBNEMPiVVn,Emergency Department (ED),Q2_4,2
Pre,R_3gCM7XBNEMPiVVn,Emergency Department (ED),Q2_5,2
Pre,R_65WIGyipA9HRMOg,Emergency Department (ED),Q2_1,4
Pre,R_65WIGyipA9HRMOg,Emergency Department (ED),Q2_2,4
Pre,R_65WIGyipA9HRMOg,Emergency Department (ED),Q2_3,4
Pre,R_65WIGyipA9HRMOg,Emergency Department (ED),Q2_4,4
Pre,R_65WIGyipA9HRMOg,Emergency Department (ED),Q2_5,2
Pre,R_5lLBAKTi979tlcx,Emergency Department (ED),Q2_1,2
Pre,R_5lLBAKTi979tlcx,Emergency Department (ED),Q2_2,3
Pre,R_5lLBAKTi979tlcx,Emergency Department (ED),Q2_3,3
Pre,R_5lLBAKTi979tlcx,Emergency Department (ED),Q2_4,2
Pre,R_5lLBAKTi979tlcx,Emergency Department (ED),Q2_5,1
Pre,R_1dTrmUnsfO4z9br,Other,Q2_1,2
Pre,R_1dTrmUnsfO4z9br,Other,Q2_2,2
Pre,R_1dTrmUnsfO4z9br,Other,Q2_3,2
Pre,R_1dTrmUnsfO4z9br,Other,Q2_4,3
Pre,R_1dTrmUnsfO4z9br,Other,Q2_5,2
Pre,R_7Cfl0eSNmmIVx3r,Emergency Department (ED),Q2_1,2
Pre,R_7Cfl0eSNmmIVx3r,Emergency Department (ED),Q2_2,2
Pre,R_7Cfl0eSNmmIVx3r,Emergency Department (ED),Q2_3,3
Pre,R_7Cfl0eSNmmIVx3r,Emergency Department (ED),Q2_4,4
Pre,R_7Cfl0eSNmmIVx3r,Emergency Department (ED),Q2_5,3
Pre,R_7LFfbneHpcaA8AE,Emergency Department (ED),Q2_1,4
Pre,R_7LFfbneHpcaA8AE,Emergency Department (ED),Q2_2,2
Pre,R_7LFfbneHpcaA8AE,Emergency Department (ED),Q2_3,5
Pre,R_7LFfbneHpcaA8AE,Emergency Department (ED),Q2_4,3
Pre,R_7LFfbneHpcaA8AE,Emergency Department (ED),Q2_5,3
Pre,R_5c7bb3GHsLG7BuO,Emergency Department (ED),Q2_1,2
Pre,R_5c7bb3GHsLG7BuO,Emergency Department (ED),Q2_2,2
Pre,R_5c7bb3GHsLG7BuO,Emergency Department (ED),Q2_3,4
Pre,R_5c7bb3GHsLG7BuO,Emergency Department (ED),Q2_4,5
Pre,R_5c7bb3GHsLG7BuO,Emergency Department (ED),Q2_5,5
Pre,R_7rBe1zqUQPJJKRy,Emergency Department (ED),Q2_1,2
Pre,R_7rBe1zqUQPJJKRy,Emergency Department (ED),Q2_2,2
Pre,R_7rBe1zqUQPJJKRy,Emergency Department (ED),Q2_3,2
Pre,R_7rBe1zqUQPJJKRy,Emergency Department (ED),Q2_4,2
Pre,R_7rBe1zqUQPJJKRy,Emergency Department (ED),Q2_5,2
Pre,R_3dm99axa5RJ9EKT,Emergency Department (ED),Q2_1,2
Pre,R_3dm99axa5RJ9EKT,Emergency Department (ED),Q2_2,2
Pre,R_3dm99axa5RJ9EKT,Emergency Department (ED),Q2_3,2
Pre,R_3dm99axa5RJ9EKT,Emergency Department (ED),Q2_4,2
Pre,R_3dm99axa5RJ9EKT,Emergency Department (ED),Q2_5,2
Pre,R_1EjAj21J8rs6WB3,Emergency Department (ED),Q2_1,3
Pre,R_1EjAj21J8rs6WB3,Emergency Department (ED),Q2_2,4
Pre,R_1EjAj21J8rs6WB3,Emergency Department (ED),Q2_3,4
Pre,R_1EjAj21J8rs6WB3,Emergency Department (ED),Q2_4,5
Pre,R_1EjAj21J8rs6WB3,Emergency Department (ED),Q2_5,5
Pre,R_11jfjz4B5VPaEjD,Emergency Department (ED),Q2_1,2
Pre,R_11jfjz4B5VPaEjD,Emergency Department (ED),Q2_2,2
Pre,R_11jfjz4B5VPaEjD,Emergency Department (ED),Q2_3,2
Pre,R_11jfjz4B5VPaEjD,Emergency Department (ED),Q2_4,2
Pre,R_11jfjz4B5VPaEjD,Emergency Department (ED),Q2_5,2
Pre,R_1k1YDDktKSjxTLy,Other,Q2_1,2
Pre,R_1k1YDDktKSjxTLy,Other,Q2_2,3
Pre,R_1k1YDDktKSjxTLy,Other,Q2_3,2
Pre,R_1k1YDDktKSjxTLy,Other,Q2_4,2
Pre,R_1k1YDDktKSjxTLy,Other,Q2_5,2
Pre,R_5Xmt7MnhLSvl2CU,Emergency Department (ED),Q2_1,3
Pre,R_5Xmt7MnhLSvl2CU,Emergency Department (ED),Q2_2,2
Pre,R_5Xmt7MnhLSvl2CU,Emergency Department (ED),Q2_3,4
Pre,R_5Xmt7MnhLSvl2CU,Emergency Department (ED),Q2_4,4
Pre,R_5Xmt7MnhLSvl2CU,Emergency Department (ED),Q2_5,4
Pre,R_5ZAmdQe04qNqV2N,Emergency Department (ED),Q2_1,4
Pre,R_5ZAmdQe04qNqV2N,Emergency Department (ED),Q2_2,4
Pre,R_5ZAmdQe04qNqV2N,Emergency Department (ED),Q2_3,3
Pre,R_5ZAmdQe04qNqV2N,Emergency Department (ED),Q2_4,3
Pre,R_5ZAmdQe04qNqV2N,Emergency Department (ED),Q2_5,3
Pre,R_54NHHohY4x9Gfc8,Emergency Department (ED),Q2_1,2
Pre,R_54NHHohY4x9Gfc8,Emergency Department (ED),Q2_2,2
Pre,R_54NHHohY4x9Gfc8,Emergency Department (ED),Q2_3,3
Pre,R_54NHHohY4x9Gfc8,Emergency Department (ED),Q2_4,3
Pre,R_54NHHohY4x9Gfc8,Emergency Department (ED),Q2_5,3
Pre,R_65Yg58YMmN7ZFj5,Emergency Department (ED),Q2_1,4
Pre,R_65Yg58YMmN7ZFj5,Emergency Department (ED),Q2_2,4
Pre,R_65Yg58YMmN7ZFj5,Emergency Department (ED),Q2_3,4
Pre,R_65Yg58YMmN7ZFj5,Emergency Department (ED),Q2_4,4
Pre,R_65Yg58YMmN7ZFj5,Emergency Department (ED),Q2_5,4
Pre,R_3OWdXuZSSoc2ZmL,Emergency Department (ED),Q2_1,2
Pre,R_3OWdXuZSSoc2ZmL,Emergency Department (ED),Q2_2,3
Pre,R_3OWdXuZSSoc2ZmL,Emergency Department (ED),Q2_3,3
Pre,R_3OWdXuZSSoc2ZmL,Emergency Department (ED),Q2_4,5
Pre,R_3OWdXuZSSoc2ZmL,Emergency Department (ED),Q2_5,5
Pre,R_7QoH3MSSYyGjVnm,Emergency Department (ED),Q2_1,3
Pre,R_7QoH3MSSYyGjVnm,Emergency Department (ED),Q2_2,3
Pre,R_7QoH3MSSYyGjVnm,Emergency Department (ED),Q2_3,3
Pre,R_7QoH3MSSYyGjVnm,Emergency Department (ED),Q2_4,3
Pre,R_7QoH3MSSYyGjVnm,Emergency Department (ED),Q2_5,3
Pre,R_3dcbdFXTvQmX53C,Emergency Department (ED),Q2_1,3
Pre,R_3dcbdFXTvQmX53C,Emergency Department (ED),Q2_2,4
Pre,R_3dcbdFXTvQmX53C,Emergency Department (ED),Q2_3,3
Pre,R_3dcbdFXTvQmX53C,Emergency Department (ED),Q2_4,3
Pre,R_3dcbdFXTvQmX53C,Emergency Department (ED),Q2_5,1
Pre,R_71ibkLZ1Lq3BEyd,Emergency Department (ED),Q2_1,3
Pre,R_71ibkLZ1Lq3BEyd,Emergency Department (ED),Q2_2,3
Pre,R_71ibkLZ1Lq3BEyd,Emergency Department (ED),Q2_3,3
Pre,R_71ibkLZ1Lq3BEyd,Emergency Department (ED),Q2_4,5
Pre,R_71ibkLZ1Lq3BEyd,Emergency Department (ED),Q2_5,5
Pre,R_1uPVj1AspYmFUo9,Emergency Department (ED),Q2_1,4
Pre,R_1uPVj1AspYmFUo9,Emergency Department (ED),Q2_2,4
Pre,R_1uPVj1AspYmFUo9,Emergency Department (ED),Q2_3,4
Pre,R_1uPVj1AspYmFUo9,Emergency Department (ED),Q2_4,4
Pre,R_1uPVj1AspYmFUo9,Emergency Department (ED),Q2_5,4
Pre,R_5iCoueCNIqua7yI,Emergency Department (ED),Q2_1,3
Pre,R_5iCoueCNIqua7yI,Emergency Department (ED),Q2_2,3
Pre,R_5iCoueCNIqua7yI,Emergency Department (ED),Q2_3,4
Pre,R_5iCoueCNIqua7yI,Emergency Department (ED),Q2_4,3
Pre,R_5iCoueCNIqua7yI,Emergency Department (ED),Q2_5,3
Pre,R_1tlJBS73a8uXrcR,Emergency Department (ED),Q2_1,3
Pre,R_1tlJBS73a8uXrcR,Emergency Department (ED),Q2_2,3
Pre,R_1tlJBS73a8uXrcR,Emergency Department (ED),Q2_3,4
Pre,R_1tlJBS73a8uXrcR,Emergency Department (ED),Q2_4,5
Pre,R_1tlJBS73a8uXrcR,Emergency Department (ED),Q2_5,5
Pre,R_1fPpiwhNeJUdigo,Other,Q2_1,3
Pre,R_1fPpiwhNeJUdigo,Other,Q2_2,3
Pre,R_1fPpiwhNeJUdigo,Other,Q2_3,2
Pre,R_1fPpiwhNeJUdigo,Other,Q2_4,4
Pre,R_1fPpiwhNeJUdigo,Other,Q2_5,3
Pre,R_5X6zgbwVx946ll1,Other,Q2_1,2
Pre,R_5X6zgbwVx946ll1,Other,Q2_2,4
Pre,R_5X6zgbwVx946ll1,Other,Q2_3,4
Pre,R_5X6zgbwVx946ll1,Other,Q2_4,2
Pre,R_5X6zgbwVx946ll1,Other,Q2_5,1
Pre,R_1tcXqLU5lRMqPyV,Other,Q2_1,2
Pre,R_1tcXqLU5lRMqPyV,Other,Q2_2,2
Pre,R_1tcXqLU5lRMqPyV,Other,Q2_3,3
Pre,R_1tcXqLU5lRMqPyV,Other,Q2_4,2
Pre,R_1tcXqLU5lRMqPyV,Other,Q2_5,2
Pre,R_3CBqCUyvCJEZMdj,Other,Q2_1,2
Pre,R_3CBqCUyvCJEZMdj,Other,Q2_2,3
Pre,R_3CBqCUyvCJEZMdj,Other,Q2_3,1
Pre,R_3CBqCUyvCJEZMdj,Other,Q2_4,3
Pre,R_3CBqCUyvCJEZMdj,Other,Q2_5,3
Pre,R_5JsVphbspZCGm0j,Emergency Department (ED),Q2_1,3
Pre,R_5JsVphbspZCGm0j,Emergency Department (ED),Q2_2,4
Pre,R_5JsVphbspZCGm0j,Emergency Department (ED),Q2_3,4
Pre,R_5JsVphbspZCGm0j,Emergency Department (ED),Q2_4,4
Pre,R_5JsVphbspZCGm0j,Emergency Department (ED),Q2_5,4
Pre,R_6JKJ3zx1o9WcejZ,Emergency Department (ED),Q2_1,2
